userId,peer_118758
5,0.0
20,0.0
21,0.0
23,0.0
27,0.0
29,0.0
32,0.0
46,0.0
54,0.0
58,0.0
69,0.0
88,0.0
91,0.0
100,0.0
101,0.0
104,0.0
108,0.0
112,0.0
133,0.0
134,0.0
147,0.0
152,0.0
154,0.0
158,0.0
202,0.0
204,0.0
215,0.0
224,0.0
228,0.0
249,0.0
263,0.0
264,0.0
278,0.0
283,0.0
295,0.0
310,0.0
330,0.0
348,0.0
358,0.0
381,0.0
387,0.0
394,0.0
406,0.0
413,0.0
414,0.0
425,0.0
427,0.0
435,0.0
445,0.0
448,0.0
457,0.0
461,0.0
463,0.0
466,0.0
473,0.0
490,0.0
492,0.0
496,0.0
525,0.0
532,0.0
537,0.0
552,0.0
566,0.0
569,0.0
579,0.0
587,0.0
603,0.0
614,0.0
620,0.0
647,0.0
648,0.0
650,0.0
652,0.0
662,0.0
672,0.0
699,0.0
702,0.0
705,0.0
710,0.0
721,0.0
722,0.0
725,0.0
741,0.0
749,0.0
775,0.0
777,0.0
782,0.0
796,0.0
799,0.0
802,0.0
846,0.0
848,0.0
853,0.0
857,0.0
868,0.0
903,0.0
907,0.0
910,0.0
911,0.0
918,0.0
920,0.0
936,0.0
950,0.0
955,0.0
971,0.0
978,0.0
982,0.0
984,0.0
986,0.0
993,0.0
1007,0.0
1011,0.0
1012,0.0
1030,0.0
1041,0.0
1045,0.0
1052,0.0
1058,0.0
1072,0.0
1082,0.0
1087,0.0
1093,0.0
1095,0.0
1102,0.0
1105,0.0
1116,0.0
1126,0.0
1133,0.0
1144,0.0
1147,0.0
1154,0.0
1165,0.0
1174,0.0
1186,0.0
1191,0.0
1200,0.0
1208,0.0
1209,0.0
1212,0.0
1215,0.0
1222,0.0
1228,0.0
1258,0.0
1259,0.0
1264,0.0
1276,0.0
1280,0.0
1296,0.0
1301,0.0
1313,0.0
1326,0.0
1338,0.0
1350,0.0
1357,0.0
1359,0.0
1362,0.0
1376,0.0
1391,0.0
1392,0.0
1400,0.0
1403,0.0
1406,0.0
1411,0.0
1412,0.0
1422,0.0
1423,0.0
1436,0.0
1439,0.0
1450,0.0
1453,0.0
1470,0.0
1500,0.0
1507,0.0
1513,0.0
1514,0.0
1515,0.0
1523,0.0
1525,0.0
1530,0.0
1555,0.0
1567,0.0
1568,0.0
1592,0.0
1595,0.0
1616,0.0
1617,0.0
1627,0.0
1628,0.0
1635,0.0
1638,0.0
1640,0.0
1643,0.0
1644,0.0
1645,0.0
1667,0.0
1672,0.0
1676,0.0
1698,0.0
1702,0.0
1709,0.0
1715,0.0
1718,0.0
1729,0.0
1753,0.0
1763,0.0
1764,0.0
1769,0.0
1771,0.0
1772,0.0
1792,0.0
1807,0.0
1808,0.0
1813,0.0
1815,0.0
1825,0.0
1845,0.0
1849,0.0
1851,0.0
1855,0.0
1864,0.0
1869,0.0
1876,0.0
1889,0.0
1902,0.0
1908,0.0
1928,0.0
1931,0.0
1937,0.0
1942,0.0
1951,0.0
1963,0.0
1970,0.0
1972,0.0
1983,0.0
1985,0.0
2001,0.0
2006,0.0
2008,0.0
2013,0.0
2034,0.0
2051,0.0
2066,0.0
2071,0.0
2080,0.0
2083,0.0
2084,0.0
2088,0.0
2094,0.0
2099,0.0
2116,0.0
2126,0.0
2127,0.0
2130,0.0
2139,0.0
2171,0.0
2191,0.0
2198,0.0
2209,0.0
2229,0.0
2232,0.0
2233,0.0
2234,0.0
2241,0.0
2256,0.0
2257,0.0
2261,0.0
2269,0.0
2270,0.0
2271,0.0
2278,0.0
2279,0.0
2296,0.0
2311,0.0
2313,0.0
2323,0.0
2324,0.0
2330,0.0
2344,0.0
2349,0.0
2352,0.0
2362,0.0
2378,0.0
2397,0.0
2412,0.0
2424,0.0
2430,0.0
2436,0.0
2462,0.0
2467,0.0
2468,0.0
2476,0.0
2514,0.0
2527,0.0
