userId,itemId,item_label,pred_mle_top5,pred_mle_top10,abs_diff
5,118758,I1,1.5,1.5,0.0
20,118758,I1,1.5,1.5,0.0
21,118758,I1,1.5,1.5,0.0
23,118758,I1,1.5,1.5,0.0
27,118758,I1,1.5,1.5,0.0
29,118758,I1,1.5,1.5,0.0
32,118758,I1,1.5,1.5,0.0
46,118758,I1,1.5,1.5,0.0
54,118758,I1,1.5,1.5,0.0
58,118758,I1,1.5,1.5,0.0
69,118758,I1,1.5,1.5,0.0
88,118758,I1,1.5,1.5,0.0
91,118758,I1,1.5,1.5,0.0
100,118758,I1,1.5,1.5,0.0
101,118758,I1,1.5,1.5,0.0
104,118758,I1,1.5,1.5,0.0
108,118758,I1,1.5,1.5,0.0
112,118758,I1,1.5,1.5,0.0
133,118758,I1,1.5,1.5,0.0
134,118758,I1,1.5,1.5,0.0
147,118758,I1,1.5,1.5,0.0
152,118758,I1,1.5,1.5,0.0
154,118758,I1,1.5,1.5,0.0
158,118758,I1,1.5,1.5,0.0
202,118758,I1,1.5,1.5,0.0
204,118758,I1,1.5,1.5,0.0
215,118758,I1,1.5,1.5,0.0
224,118758,I1,1.5,1.5,0.0
228,118758,I1,1.5,1.5,0.0
249,118758,I1,1.5,1.5,0.0
263,118758,I1,1.5,1.5,0.0
264,118758,I1,1.5,1.5,0.0
278,118758,I1,1.5,1.5,0.0
283,118758,I1,1.5,1.5,0.0
295,118758,I1,1.5,1.5,0.0
310,118758,I1,1.5,1.5,0.0
330,118758,I1,1.5,1.5,0.0
348,118758,I1,1.5,1.5,0.0
358,118758,I1,1.5,1.5,0.0
381,118758,I1,1.5,1.5,0.0
387,118758,I1,1.5,1.5,0.0
394,118758,I1,1.5,1.5,0.0
406,118758,I1,1.5,1.5,0.0
413,118758,I1,1.5,1.5,0.0
414,118758,I1,1.5,1.5,0.0
425,118758,I1,1.5,1.5,0.0
427,118758,I1,1.5,1.5,0.0
435,118758,I1,1.5,1.5,0.0
445,118758,I1,1.5,1.5,0.0
448,118758,I1,1.5,1.5,0.0
457,118758,I1,1.5,1.5,0.0
461,118758,I1,1.5,1.5,0.0
463,118758,I1,1.5,1.5,0.0
466,118758,I1,1.5,1.5,0.0
473,118758,I1,1.5,1.5,0.0
490,118758,I1,1.5,1.5,0.0
492,118758,I1,1.5,1.5,0.0
496,118758,I1,1.5,1.5,0.0
525,118758,I1,1.5,1.5,0.0
532,118758,I1,1.5,1.5,0.0
537,118758,I1,1.5,1.5,0.0
552,118758,I1,1.5,1.5,0.0
566,118758,I1,1.5,1.5,0.0
569,118758,I1,1.5,1.5,0.0
579,118758,I1,1.5,1.5,0.0
587,118758,I1,1.5,1.5,0.0
603,118758,I1,1.5,1.5,0.0
614,118758,I1,1.5,1.5,0.0
620,118758,I1,1.5,1.5,0.0
647,118758,I1,1.5,1.5,0.0
648,118758,I1,1.5,1.5,0.0
650,118758,I1,1.5,1.5,0.0
652,118758,I1,1.5,1.5,0.0
662,118758,I1,1.5,1.5,0.0
672,118758,I1,1.5,1.5,0.0
699,118758,I1,1.5,1.5,0.0
702,118758,I1,1.5,1.5,0.0
705,118758,I1,1.5,1.5,0.0
710,118758,I1,1.5,1.5,0.0
721,118758,I1,1.5,1.5,0.0
722,118758,I1,1.5,1.5,0.0
725,118758,I1,1.5,1.5,0.0
741,118758,I1,1.5,1.5,0.0
749,118758,I1,1.5,1.5,0.0
775,118758,I1,1.5,1.5,0.0
777,118758,I1,1.5,1.5,0.0
782,118758,I1,1.5,1.5,0.0
796,118758,I1,1.5,1.5,0.0
799,118758,I1,1.5,1.5,0.0
802,118758,I1,1.5,1.5,0.0
846,118758,I1,1.5,1.5,0.0
848,118758,I1,1.5,1.5,0.0
853,118758,I1,1.5,1.5,0.0
857,118758,I1,1.5,1.5,0.0
868,118758,I1,1.5,1.5,0.0
903,118758,I1,1.5,1.5,0.0
907,118758,I1,1.5,1.5,0.0
910,118758,I1,1.5,1.5,0.0
911,118758,I1,1.5,1.5,0.0
918,118758,I1,1.5,1.5,0.0
920,118758,I1,1.5,1.5,0.0
936,118758,I1,1.5,1.5,0.0
950,118758,I1,1.5,1.5,0.0
955,118758,I1,1.5,1.5,0.0
971,118758,I1,1.5,1.5,0.0
978,118758,I1,1.5,1.5,0.0
982,118758,I1,1.5,1.5,0.0
984,118758,I1,1.5,1.5,0.0
986,118758,I1,1.5,1.5,0.0
993,118758,I1,1.5,1.5,0.0
1007,118758,I1,1.5,1.5,0.0
1011,118758,I1,1.5,1.5,0.0
1012,118758,I1,1.5,1.5,0.0
1030,118758,I1,1.5,1.5,0.0
1041,118758,I1,1.5,1.5,0.0
1045,118758,I1,1.5,1.5,0.0
1052,118758,I1,1.5,1.5,0.0
1058,118758,I1,1.5,1.5,0.0
1072,118758,I1,1.5,1.5,0.0
1082,118758,I1,1.5,1.5,0.0
1087,118758,I1,1.5,1.5,0.0
1093,118758,I1,1.5,1.5,0.0
1095,118758,I1,1.5,1.5,0.0
1102,118758,I1,1.5,1.5,0.0
1105,118758,I1,1.5,1.5,0.0
1116,118758,I1,1.5,1.5,0.0
1126,118758,I1,1.5,1.5,0.0
1133,118758,I1,1.5,1.5,0.0
1144,118758,I1,1.5,1.5,0.0
1147,118758,I1,1.5,1.5,0.0
1154,118758,I1,1.5,1.5,0.0
1165,118758,I1,1.5,1.5,0.0
1174,118758,I1,1.5,1.5,0.0
1186,118758,I1,1.5,1.5,0.0
1191,118758,I1,1.5,1.5,0.0
1200,118758,I1,1.5,1.5,0.0
1208,118758,I1,1.5,1.5,0.0
1209,118758,I1,1.5,1.5,0.0
1212,118758,I1,1.5,1.5,0.0
1215,118758,I1,1.5,1.5,0.0
1222,118758,I1,1.5,1.5,0.0
1228,118758,I1,1.5,1.5,0.0
1258,118758,I1,1.5,1.5,0.0
1259,118758,I1,1.5,1.5,0.0
1264,118758,I1,1.5,1.5,0.0
1276,118758,I1,1.5,1.5,0.0
1280,118758,I1,1.5,1.5,0.0
1296,118758,I1,1.5,1.5,0.0
1301,118758,I1,1.5,1.5,0.0
1313,118758,I1,1.5,1.5,0.0
1326,118758,I1,1.5,1.5,0.0
1338,118758,I1,1.5,1.5,0.0
1350,118758,I1,1.5,1.5,0.0
1357,118758,I1,1.5,1.5,0.0
1359,118758,I1,1.5,1.5,0.0
1362,118758,I1,1.5,1.5,0.0
1376,118758,I1,1.5,1.5,0.0
1391,118758,I1,1.5,1.5,0.0
1392,118758,I1,1.5,1.5,0.0
1400,118758,I1,1.5,1.5,0.0
1403,118758,I1,1.5,1.5,0.0
1406,118758,I1,1.5,1.5,0.0
1411,118758,I1,1.5,1.5,0.0
1412,118758,I1,1.5,1.5,0.0
1422,118758,I1,1.5,1.5,0.0
1423,118758,I1,1.5,1.5,0.0
1436,118758,I1,1.5,1.5,0.0
1439,118758,I1,1.5,1.5,0.0
1450,118758,I1,1.5,1.5,0.0
1453,118758,I1,1.5,1.5,0.0
1470,118758,I1,1.5,1.5,0.0
1500,118758,I1,1.5,1.5,0.0
1507,118758,I1,1.5,1.5,0.0
1513,118758,I1,1.5,1.5,0.0
