userId,itemId,pred_top5,pred_top10,abs_diff,same_prediction
5,118758,1.5,1.5,0.0,True
20,118758,1.5,1.5,0.0,True
21,118758,1.5,1.5,0.0,True
23,118758,1.5,1.5,0.0,True
27,118758,1.5,1.5,0.0,True
29,118758,1.5,1.5,0.0,True
32,118758,1.5,1.5,0.0,True
46,118758,1.5,1.5,0.0,True
54,118758,1.5,1.5,0.0,True
58,118758,1.5,1.5,0.0,True
69,118758,1.5,1.5,0.0,True
88,118758,1.5,1.5,0.0,True
91,118758,1.5,1.5,0.0,True
100,118758,1.5,1.5,0.0,True
101,118758,1.5,1.5,0.0,True
104,118758,1.5,1.5,0.0,True
108,118758,1.5,1.5,0.0,True
112,118758,1.5,1.5,0.0,True
133,118758,1.5,1.5,0.0,True
134,118758,1.5,1.5,0.0,True
147,118758,1.5,1.5,0.0,True
152,118758,1.5,1.5,0.0,True
154,118758,1.5,1.5,0.0,True
158,118758,1.5,1.5,0.0,True
202,118758,1.5,1.5,0.0,True
204,118758,1.5,1.5,0.0,True
215,118758,1.5,1.5,0.0,True
224,118758,1.5,1.5,0.0,True
228,118758,1.5,1.5,0.0,True
249,118758,1.5,1.5,0.0,True
263,118758,1.5,1.5,0.0,True
264,118758,1.5,1.5,0.0,True
278,118758,1.5,1.5,0.0,True
283,118758,1.5,1.5,0.0,True
295,118758,1.5,1.5,0.0,True
310,118758,1.5,1.5,0.0,True
330,118758,1.5,1.5,0.0,True
348,118758,1.5,1.5,0.0,True
358,118758,1.5,1.5,0.0,True
381,118758,1.5,1.5,0.0,True
387,118758,1.5,1.5,0.0,True
394,118758,1.5,1.5,0.0,True
406,118758,1.5,1.5,0.0,True
413,118758,1.5,1.5,0.0,True
414,118758,1.5,1.5,0.0,True
425,118758,1.5,1.5,0.0,True
427,118758,1.5,1.5,0.0,True
435,118758,1.5,1.5,0.0,True
445,118758,1.5,1.5,0.0,True
448,118758,1.5,1.5,0.0,True
457,118758,1.5,1.5,0.0,True
461,118758,1.5,1.5,0.0,True
463,118758,1.5,1.5,0.0,True
466,118758,1.5,1.5,0.0,True
473,118758,1.5,1.5,0.0,True
490,118758,1.5,1.5,0.0,True
492,118758,1.5,1.5,0.0,True
496,118758,1.5,1.5,0.0,True
525,118758,1.5,1.5,0.0,True
532,118758,1.5,1.5,0.0,True
537,118758,1.5,1.5,0.0,True
552,118758,1.5,1.5,0.0,True
566,118758,1.5,1.5,0.0,True
569,118758,1.5,1.5,0.0,True
579,118758,1.5,1.5,0.0,True
587,118758,1.5,1.5,0.0,True
603,118758,1.5,1.5,0.0,True
614,118758,1.5,1.5,0.0,True
620,118758,1.5,1.5,0.0,True
647,118758,1.5,1.5,0.0,True
648,118758,1.5,1.5,0.0,True
650,118758,1.5,1.5,0.0,True
652,118758,1.5,1.5,0.0,True
662,118758,1.5,1.5,0.0,True
672,118758,1.5,1.5,0.0,True
