user_id,asin,rating,review_text,timestamp,verified_purchase,helpful_vote,user_idx,item_idx
U05347,B00000309,5,Absolutely love it! Fragrance 215,1648476770,True,27,5334,309
U05347,B00000566,5,Best product in this category. Fragrance 227,1671265312,True,30,5334,566
U05347,B00000072,3,Decent but I've seen better. Fragrance 268,1654697081,True,39,5334,72
U05347,B00000642,2,Disappointed with the results. Fragrance 599,1620108495,True,15,5334,642
U05347,B00000263,4,Really like this product. Fragrance 54,1670426381,True,26,5334,263
U05347,B00000336,5,"Perfect, exactly what I needed! Fragrance 851",1669370739,True,31,5334,336
U05347,B00000113,5,Highly recommended to everyone. Fragrance 13,1635591770,False,1,5334,113
U05347,B00000195,4,Really like this product. Fragrance 67,1685670143,True,33,5334,195
U05347,B00000075,4,Really like this product. Fragrance 724,1671983118,True,47,5334,75
U05347,B00000511,5,Highly recommended to everyone. Fragrance 462,1673766145,True,15,5334,511
U04799,B00000649,5,Best product in this category. Fragrance 23,1642601740,True,36,4787,649
U04799,B00000470,5,Highly recommended to everyone. Fragrance 825,1679357280,True,7,4787,470
U04799,B00000007,4,Solid performance. Fragrance 420,1702083518,True,25,4787,7
U04799,B00000217,3,Decent but I've seen better. Fragrance 459,1621749074,True,17,4787,217
U04799,B00000207,3,"It's okay, nothing special. Fragrance 838",1676212398,True,40,4787,207
U04799,B00000428,4,"Great, would buy again. Fragrance 543",1675517040,True,41,4787,428
U04799,B00000430,3,Average product for the price. Fragrance 618,1672171396,True,2,4787,430
U04799,B00000416,5,Highly recommended to everyone. Fragrance 576,1614201511,True,34,4787,416
U04799,B00000173,3,Decent but I've seen better. Fragrance 382,1648158460,True,2,4787,173
U04799,B00000256,5,Highly recommended to everyone. Fragrance 727,1686301754,False,18,4787,256
U04799,B00000073,5,Best product in this category. Fragrance 250,1643215780,True,28,4787,73
U04799,B00000615,5,Best product in this category. Fragrance 983,1625272538,True,17,4787,615
U04799,B00000502,5,Absolutely love it! Fragrance 804,1623750866,True,0,4787,502
U01970,B00000187,4,Really like this product. Fragrance 420,1676213736,True,25,1965,187
U01970,B00000292,4,Solid performance. Fragrance 827,1646251080,False,5,1965,292
U01970,B00000307,5,Absolutely love it! Fragrance 412,1618540541,False,0,1965,307
U01970,B00000380,3,Average product for the price. Fragrance 456,1677205825,True,10,1965,380
U01970,B00000647,2,Disappointed with the results. Fragrance 627,1692833849,False,36,1965,647
U01970,B00000204,5,Absolutely love it! Fragrance 190,1654931173,True,31,1965,204
U01970,B00000165,3,"It's okay, nothing special. Fragrance 910",1677572553,False,26,1965,165
U01970,B00000004,4,Good value for money. Fragrance 1,1643595270,False,46,1965,4
U01970,B00000279,4,Good value for money. Fragrance 220,1664248325,True,23,1965,279
U01970,B00000123,5,"Perfect, exactly what I needed! Fragrance 499",1697356099,True,31,1965,123
U01970,B00000223,5,Absolutely love it! Fragrance 940,1671502490,True,48,1965,223
U04976,B00000170,3,Average product for the price. Fragrance 125,1610251215,True,49,4963,170
U04976,B00000164,4,"Great, would buy again. Fragrance 766",1634710556,True,2,4963,164
U04976,B00000471,5,Highly recommended to everyone. Fragrance 861,1669748266,True,44,4963,471
U04976,B00000190,5,Highly recommended to everyone. Fragrance 815,1628016277,True,16,4963,190
U04976,B00000082,4,Solid performance. Fragrance 859,1667730864,True,35,4963,82
U04976,B00000600,4,"Great, would buy again. Fragrance 987",1664126594,True,20,4963,600
U04976,B00000184,5,Highly recommended to everyone. Fragrance 232,1667836121,True,15,4963,184
U04976,B00000468,4,Really like this product. Fragrance 8,1614459372,True,29,4963,468
U04976,B00000234,5,"Perfect, exactly what I needed! Fragrance 7",1613867788,False,49,4963,234
U02767,B00000336,5,Best product in this category. Fragrance 365,1611329271,True,6,2758,336
U02767,B00000145,4,Solid performance. Fragrance 136,1687435568,True,4,2758,145
U02767,B00000256,1,Do not buy this! Fragrance 209,1654871041,True,6,2758,256
U02767,B00000432,4,Really like this product. Fragrance 975,1683379944,True,17,2758,432
U02767,B00000057,1,Broken upon arrival. Fragrance 496,1643337475,True,33,2758,57
U02767,B00000325,4,Good value for money. Fragrance 585,1695204826,False,8,2758,325
U02767,B00000167,1,Worst purchase ever. Fragrance 992,1646347906,True,0,2758,167
U02767,B00000519,5,Absolutely love it! Fragrance 706,1631630354,True,28,2758,519
U02767,B00000496,5,Best product in this category. Fragrance 152,1630253373,True,14,2758,496
U02767,B00000369,1,Broken upon arrival. Fragrance 676,1622693146,False,42,2758,369
