user_id,asin,rating,review_text,timestamp,verified_purchase,helpful_vote
U05347,B00000101,4,Really like this product. Fragrance 215,1625452438,True,10
U04799,B00000498,4,"Great, would buy again. Fragrance 948",1660953037,True,27
U01970,B00000364,4,"Great, would buy again. Fragrance 328",1653319283,True,16
U04976,B00000146,4,"Great, would buy again. Fragrance 442",1654266380,False,30
U02767,B00000113,4,Good value for money. Fragrance 725,1626454186,False,9
U02367,B00000125,5,"Perfect, exactly what I needed! Fragrance 193",1699255464,True,29
U04152,B00000302,5,Best product in this category. Fragrance 263,1678046832,True,29
U02694,B00000578,5,Absolutely love it! Fragrance 548,1702772224,True,12
U01767,B00000647,5,"Perfect, exactly what I needed! Fragrance 200",1678676606,False,34
U02241,B00000103,4,Really like this product. Fragrance 941,1615012735,True,30
U01381,B00000074,4,"Great, would buy again. Fragrance 909",1671910860,False,33
U02092,B00000572,2,Quality is poor. Fragrance 527,1671143847,True,33
U04545,B00000473,4,"Great, would buy again. Fragrance 926",1668018171,False,2
U02951,B00000214,5,Best product in this category. Fragrance 566,1704064117,True,38
U02368,B00000232,3,"It's okay, nothing special. Fragrance 532",1669863988,True,24
U02384,B00000182,4,Really like this product. Fragrance 73,1647821795,True,19
U00159,B00000013,4,Really like this product. Fragrance 52,1646911822,True,3
U01228,B00000058,5,Best product in this category. Fragrance 11,1619656094,True,17
U04449,B00000638,2,Would not recommend. Fragrance 560,1631306830,True,48
U01884,B00000153,5,Best product in this category. Fragrance 293,1698479824,True,49
U02437,B00000324,5,"Perfect, exactly what I needed! Fragrance 156",1644430474,False,42
U04232,B00000427,4,Really like this product. Fragrance 910,1633012018,True,48
U00197,B00000623,5,Highly recommended to everyone. Fragrance 420,1656883158,True,32
U03899,B00000631,5,Highly recommended to everyone. Fragrance 22,1627632852,True,12
U05220,B00000535,5,Absolutely love it! Fragrance 451,1674057646,False,8
U04628,B00000292,1,"Terrible product, wasted my money. Fragrance 501",1692351279,True,40
U01378,B00000302,2,Would not recommend. Fragrance 973,1698711266,True,6
U04072,B00000012,4,Good value for money. Fragrance 99,1637797406,True,8
U04424,B00000165,4,Solid performance. Fragrance 981,1673843299,True,44
U01772,B00000161,4,Solid performance. Fragrance 262,1612569891,True,27
U00939,B00000148,5,Best product in this category. Fragrance 437,1681078848,False,42
U01548,B00000312,5,Best product in this category. Fragrance 649,1663385652,True,9
U04653,B00000524,4,Solid performance. Fragrance 769,1692470741,True,13
U00674,B00000386,4,Good value for money. Fragrance 779,1615393461,True,28
U04266,B00000408,5,"Perfect, exactly what I needed! Fragrance 857",1700908773,True,27
U02831,B00000464,4,Really like this product. Fragrance 971,1611822362,True,41
